ts,live_ratio_ah_per_kwh_m2,solar_ah_so_far,irradiance_kwh_m2_so_far,solar_model_coefficient,drift_pct,advisory_fired
2026-05-19T11:44:25,5.7300,6.2600,1.0920,8.1495,-29.70,True
2026-05-19T12:09:45,6.0100,8.0100,1.3320,8.1495,-26.30,True
2026-05-19T12:35:45,5.9200,9.3400,1.5780,8.1495,-27.40,True
2026-05-19T13:01:45,8.5900,15.6700,1.8240,8.1495,5.40,False
2026-05-19T13:26:45,10.4600,22.1000,2.1130,8.1495,28.40,True
2026-05-19T13:51:45,11.6500,28.4900,2.4450,8.1495,43.00,True
2026-05-19T14:16:45,11.6100,31.7700,2.7370,8.1495,42.50,True
2026-05-19T14:42:45,11.7700,35.1900,2.9890,8.1495,44.40,True
2026-05-19T15:07:45,12.3200,39.7600,3.2270,8.1495,51.20,True
2026-05-19T15:32:45,12.0400,41.7200,3.4660,8.1495,47.70,True
