ts,state,pack_v,pack_i,pack_p,soc_a,soc_b,v_a,v_b,i_a,i_b,t_a,t_b,remaining_ah_a,remaining_ah_b,delta_v_a,delta_v_b,smoothed_i,smoothed_p,minutes_remaining,name_a,name_b,problem_code_a,problem_code_b,cell_a_1,cell_a_2,cell_a_3,cell_a_4,cell_b_1,cell_b_2,cell_b_3,cell_b_4
2026-06-29T23:34:56,discharging,26.408,-8.8,-232.39040000000003,84,74,13.209,13.199,-8.8,-8.8,24,24,192.0,154.0,0.008,0.008,-8.8,-232.39040000000003,872.7272727272727,,V-12V200AH-0667,0,0,3.299,3.301,3.307,3.302,3.299,3.298,3.305,3.297
2026-06-29T23:35:10,discharging,26.408,-8.7,-229.7496,84,74,13.208,13.2,-8.8,-8.6,24,24,192.0,154.0,0.008,0.009,-8.785,-231.99428,874.2174160500853,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.3,3.307,3.302,3.299,3.298,3.306,3.297
2026-06-29T23:35:24,discharging,26.41,-8.3,-219.20300000000003,84,74,13.209,13.201,-8.4,-8.2,24,24,192.0,154.0,0.008,0.009,-8.712250000000001,-230.07558799999998,881.517403655772,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.301,3.307,3.302,3.299,3.299,3.306,3.297
2026-06-29T23:35:41,discharging,26.407,-8.9,-235.0223,84,74,13.208,13.199,-9.4,-8.4,24,24,190.0,154.0,0.008,0.008,-8.740412500000001,-230.81759479999997,878.6770647266361,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.3,3.307,3.302,3.299,3.298,3.305,3.297
2026-06-29T23:36:03,discharging,26.406,-8.7,-229.73219999999998,84,74,13.207,13.199,-8.8,-8.6,24,24,190.0,154.0,0.009,0.009,-8.734350625000001,-230.65478557999995,879.2868903176187,V-12V200AH-0533,V-12V200AH-0667,0,0,3.298,3.3,3.307,3.302,3.299,3.299,3.305,3.296
2026-06-29T23:36:15,discharging,26.406,-8.7,-229.73219999999998,84,74,13.208,13.198,-8.8,-8.6,24,24,190.0,154.0,0.008,0.009,-8.72919803125,-230.51639774299997,879.8059080004905,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.3,3.307,3.302,3.299,3.298,3.305,3.296
2026-06-29T23:36:24,discharging,26.409,-8.5,-224.4765,84,74,13.208,13.201,-8.6,-8.4,24,24,190.0,154.0,0.008,0.009,-8.6948183265625,-229.61041308154995,883.2847003298218,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.3,3.307,3.302,3.299,3.299,3.306,3.297
2026-06-29T23:36:46,discharging,26.407,-8.7,-229.74089999999998,84,74,13.208,13.199,-8.8,-8.6,24,24,190.0,154.0,0.008,0.008,-8.695595577578125,-229.62998611931744,883.2057484139591,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.3,3.307,3.302,3.299,3.298,3.305,3.297
2026-06-29T23:37:07,discharging,26.405,-8.7,-229.7235,84,74,13.207,13.198,-8.8,-8.6,24,24,190.0,154.0,0.007,0.009,-8.696256240941405,-229.64401320141982,883.1386503818808,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.3,3.306,3.302,3.299,3.298,3.305,3.296
2026-06-29T23:37:17,discharging,26.406,-8.7,-229.73219999999998,84,73,13.208,13.198,-8.8,-8.6,24,24,190.0,154.0,0.008,0.009,-8.696817804800194,-229.65724122120685,869.283474678206,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.3,3.307,3.302,3.299,3.298,3.305,3.296
2026-06-29T23:37:38,discharging,26.408,-8.5,-224.46800000000002,84,73,13.208,13.2,-8.6,-8.4,24,24,190.0,154.0,0.008,0.008,-8.667295134080165,-228.87885503802582,872.2444410914042,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.3,3.307,3.302,3.299,3.299,3.305,3.297
2026-06-29T23:37:48,discharging,26.407,-8.5,-224.4595,84,73,13.207,13.2,-8.6,-8.4,24,24,190.0,154.0,0.009,0.008,-8.64220086396814,-228.21595178232195,874.7771683391262,V-12V200AH-0533,V-12V200AH-0667,0,0,3.298,3.3,3.307,3.302,3.299,3.299,3.305,3.297
2026-06-29T23:38:41,discharging,26.408,-8.5,-224.46800000000002,84,73,13.209,13.199,-8.6,-8.4,24,24,190.0,154.0,0.008,0.009,-8.62087073437292,-227.65375901497364,876.941579677904,,V-12V200AH-0667,0,0,3.299,3.301,3.307,3.302,3.299,3.299,3.305,3.296
2026-06-29T23:39:11,discharging,26.404,-8.7,-229.71479999999997,84,73,13.206,13.198,-8.8,-8.6,24,24,190.0,154.0,0.008,0.009,-8.632740124216982,-227.9629151627276,875.7358487825113,V-12V200AH-0533,V-12V200AH-0667,0,0,3.298,3.3,3.306,3.302,3.299,3.298,3.305,3.296
2026-06-29T23:39:44,discharging,26.404,-8.7,-229.71479999999997,84,73,13.206,13.198,-8.8,-8.6,24,24,190.0,152.0,0.008,0.009,-8.642829105584434,-228.22569788831845,874.7135813567365,V-12V200AH-0533,V-12V200AH-0667,0,0,3.298,3.3,3.306,3.302,3.299,3.298,3.305,3.296
2026-06-29T23:40:10,discharging,26.407,-8.3,-219.17810000000003,84,73,13.208,13.199,-8.4,-8.2,24,24,190.0,152.0,0.008,0.008,-8.59140473974677,-226.86855820507066,879.9492317042009,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.3,3.307,3.302,3.299,3.298,3.305,3.297
2026-06-29T23:40:25,discharging,26.407,-8.3,-219.17810000000003,84,73,13.208,13.199,-8.4,-8.2,24,24,190.0,152.0,0.008,0.008,-8.547694028784754,-225.71498947431007,884.449065975145,V-12V200AH-0533,V-12V200AH-0667,0,0,3.299,3.3,3.307,3.302,3.299,3.298,3.305,3.297
2026-06-29T23:40:35,discharging,26.406,-8.5,-224.451,83,73,13.207,13.199,-8.6,-8.4,24,24,190.0,152.0,0.009,0.008,-8.54053992446704,-225.52539105316356,885.1899372710643,V-12V200AH-0533,V-12V200AH-0667,0,0,3.298,3.3,3.307,3.302,3.299,3.298,3.305,3.297
2026-06-29T23:40:47,discharging,26.405,-8.5,-224.4425,83,73,13.207,13.198,-8.6,-8.4,24,24,190.0,152.0,0.009,0.009,-8.534458935796984,-225.362957395189,885.8206544635527,V-12V200AH-0533,V-12V200AH-0667,0,0,3.298,3.3,3.307,3.302,3.299,3.298,3.305,3.296
2026-06-29T23:41:01,discharging,26.405,-8.7,-229.7235,83,73,13.207,13.198,-8.6,-8.8,24,24,190.0,152.0,0.009,0.009,-8.559290095427436,-226.01703878591064,883.2508205369417,V-12V200AH-0533,V-12V200AH-0667,0,0,3.298,3.3,3.307,3.302,3.299,3.298,3.305,3.296
2026-06-29T23:41:21,discharging,26.405,-8.5,-224.4425,83,73,13.207,13.198,-8.6,-8.4,24,24,190.0,152.0,0.009,0.009,-8.55039658111332,-225.78085796802404,884.1695152127828,V-12V200AH-0533,V-12V200AH-0667,0,0,3.298,3.3,3.307,3.302,3.299,3.298,3.305,3.296
2026-06-29T23:41:31,discharging,26.404,-8.600000000000001,-227.07440000000003,83,73,13.206,13.198,-8.8,-8.4,24,24,190.0,152.0,0.009,0.009,-8.557837093946322,-225.97488927282043,883.400784217758,V-12V200AH-0533,V-12V200AH-0667,0,0,3.298,3.3,3.307,3.301,3.299,3.298,3.305,3.296
