ts,start_soc_pct,projected_sunrise_soc,projected_tomorrow_evening_soc,projected_low_soc,solar_model_coefficient,today_irradiance_kwh_m2,sunrise_iso,source
2026-05-18T22:14:46,84.00,69.36,90.34,69.16,8.1495,5.622,2026-05-19T05:09,advisor-invocation
2026-05-18T22:39:46,83.00,69.24,88.78,68.16,8.1495,5.622,2026-05-19T05:09,advisor-invocation
2026-05-18T23:04:46,82.00,69.20,87.35,67.30,8.1495,5.622,2026-05-19T05:09,advisor-invocation
2026-05-18T23:29:46,81.00,69.12,89.24,68.40,8.1495,5.622,2026-05-19T05:09,advisor-invocation
2026-05-18T23:54:46,79.00,67.99,86.67,66.40,8.1495,5.622,2026-05-19T05:09,advisor-invocation
2026-05-19T00:19:46,78.00,67.90,85.92,67.49,8.1495,4.925,2026-05-19T05:08,advisor-invocation
2026-05-19T00:44:46,77.00,67.77,84.43,66.49,8.1495,4.925,2026-05-19T05:08,advisor-invocation
2026-05-19T01:10:46,76.00,67.63,86.15,67.53,8.1495,4.925,2026-05-19T05:08,advisor-invocation
2026-05-19T01:36:46,75.00,67.59,84.68,66.58,8.1495,4.925,2026-05-19T05:08,advisor-invocation
2026-05-19T02:02:46,73.00,66.50,82.21,64.63,8.1495,4.925,2026-05-19T05:08,advisor-invocation
2026-05-19T02:28:46,72.00,66.45,83.98,65.72,8.1495,4.925,2026-05-19T05:08,advisor-invocation
2026-05-19T02:53:46,71.00,66.32,82.48,64.72,8.1495,4.925,2026-05-19T05:08,advisor-invocation
2026-05-19T03:19:46,70.00,66.22,84.25,65.81,8.1495,4.925,2026-05-19T05:08,advisor-invocation
