Ref,Val,Package,PosX,PosY,Rot,Side
"C5","100nF","C_0603_1608Metric",64.000000,-18.000000,0.000000,bottom
"C6","10uF","C_0805_2012Metric",25.000000,-43.000000,0.000000,bottom
"C7","100nF","C_0402_1005Metric",29.000000,-43.000000,0.000000,bottom
"C8","1uF","C_0603_1608Metric",33.000000,-43.000000,0.000000,bottom
"C9","100nF","C_0603_1608Metric",62.000000,-57.000000,0.000000,bottom
"C10","100nF","C_0603_1608Metric",84.000000,-45.000000,0.000000,bottom
"C11","100nF","C_0603_1608Metric",22.000000,-65.000000,0.000000,bottom
"R5","1M","R_0805_2012Metric",64.000000,-12.000000,0.000000,bottom
"R6","110k","R_0805_2012Metric",64.000000,-15.000000,0.000000,bottom
"R7","10k","R_0805_2012Metric",37.000000,-43.000000,0.000000,bottom
"R8","4.7k","R_0805_2012Metric",54.000000,-57.000000,0.000000,bottom
"R9","4.7k","R_0805_2012Metric",58.000000,-57.000000,0.000000,bottom
"R10","120","R_0805_2012Metric",73.000000,-52.000000,0.000000,bottom
"R11","680","R_0805_2012Metric",77.000000,-52.000000,0.000000,bottom
"R12","680","R_0805_2012Metric",81.000000,-52.000000,0.000000,bottom
"R13","1M","R_0805_2012Metric",22.000000,-62.000000,0.000000,bottom
"BAT1","CR2032","BatteryHolder_Keystone_1057_1x2032",48.000000,-67.000000,0.000000,top
"BTN1","OVERRIDE","SW_PUSH_6mm",10.000000,-60.000000,0.000000,top
"C1","22uF/25V","C_1210_3225Metric",30.000000,-33.000000,0.000000,top
"C2","22uF/25V","C_1210_3225Metric",41.000000,-27.000000,0.000000,top
"C3","22uF/35V","C_1210_3225Metric",41.000000,-33.000000,0.000000,top
"C4","22uF/25V","C_1210_3225Metric",47.000000,-33.000000,0.000000,top
"C_BST","100nF","C_0603_1608Metric",30.000000,-22.000000,0.000000,top
"D1","SS24","D_SMA",54.000000,-12.000000,0.000000,top
"F1","1A 5x20","Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal",28.000000,-12.000000,0.000000,top
"J1","Conn_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",15.000000,-13.000000,0.000000,top
"J2","RJ45","RJ45_Amphenol_RJHSE5380",78.000000,-18.000000,0.000000,top
"J3","USB-OTG","PinHeader_1x04_P2.54mm_Vertical",88.000000,-36.000000,0.000000,top
"J5","UART-DBG","PinHeader_1x04_P2.54mm_Vertical",88.000000,-56.000000,0.000000,top
"L1","2.2uH","L_0805_2012Metric",36.000000,-27.000000,0.000000,top
"MOD1","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1U",30.000000,-48.000000,0.000000,top
"Q1","AO3401A","SOT-23",14.000000,-27.000000,0.000000,top
"Q2","AO3400A","SOT-23",14.000000,-32.000000,0.000000,top
"R3","100k","R_0805_2012Metric",20.000000,-32.000000,0.000000,top
"R4","100k","R_0805_2012Metric",20.000000,-27.000000,0.000000,top
"RTC1","DS3231SN#","SOIC-16W_7.5x10.3mm_P1.27mm",58.000000,-48.000000,0.000000,top
"TVS1","SMAJ30CA","D_SMA",54.000000,-18.000000,0.000000,top
"TVS2","SMAJ12CA","D_SMA",78.000000,-51.000000,0.000000,top
"U1","TPS62933FDRLR","SOT-23-6",30.000000,-27.000000,0.000000,top
"U2","R-78E12-1.0","Converter_DCDC_RECOM_R-78E-0.5_THT",60.000000,-30.000000,0.000000,top
"U3","SN65HVD3082E","SOIC-8_3.9x4.9mm_P1.27mm",78.000000,-45.000000,0.000000,top
