Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Wurth_615008145521","J_Wurth_WR-MJ_615008145521",12.975000,-37.280000,0.000000,bottom
"U1","R-78E3.3-0.5","Converter_DCDC_RECOM_R-78E-0.5_THT",24.485000,-43.250000,0.000000,bottom
"BTN1","6x6 tall-actuator","SW_PUSH_6mm_H13mm",20.750000,-55.250000,0.000000,top
"BTN2","6x6 tall-actuator","SW_PUSH_6mm_H13mm",38.750000,-55.250000,0.000000,top
"BTN3","6x6 tall-actuator","SW_PUSH_6mm_H13mm",56.750000,-55.250000,0.000000,top
"C1","22µF 25V","C_1210_3225Metric",12.500000,-13.500000,0.000000,top
"C2","10µF","C_0805_2012Metric",77.000000,-33.000000,0.000000,top
"C3","10µF","C_0805_2012Metric",34.000000,-44.000000,0.000000,top
"C4","100nF","C_0603_1608Metric",38.000000,-44.000000,0.000000,top
"C5","1µF","C_0603_1608Metric",56.000000,-44.000000,0.000000,top
"C6","1µF","C_0603_1608Metric",42.000000,-44.000000,0.000000,top
"C7","100nF","C_0603_1608Metric",46.000000,-44.000000,0.000000,top
"C8","100nF","C_0603_1608Metric",10.000000,-49.500000,0.000000,top
"C9","100nF","C_0603_1608Metric",46.000000,-49.500000,0.000000,top
"C10","100nF","C_0603_1608Metric",62.500000,-49.500000,0.000000,top
"C_mux","47µF","C_0805_2012Metric",62.000000,-38.500000,0.000000,top
"C_usb1","1µF","C_0603_1608Metric",62.000000,-27.000000,0.000000,top
"C_usb2","1µF","C_0603_1608Metric",62.000000,-33.000000,0.000000,top
"F1","MF-R025","Fuse_Bourns_MF-R025_THT_P5.08mm",10.460000,-8.000000,0.000000,top
"J-USB","USB4115-03-C","USB_C_Receptacle_GCT_USB4115-03-C",72.000000,-57.000000,0.000000,top
"J2","JST_S8B-PH-K-S","JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal",35.000000,-3.550000,0.000000,top
"J3","ESP-Prog","IDC-Header_2x03_P2.54mm_Vertical",76.730000,-41.455000,0.000000,top
"J5","TERM","PinHeader_1x02_P2.54mm_Vertical",28.000000,-18.725000,0.000000,top
"MOD1","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1_HSvia0.3_NoAntKeepout",42.000000,-26.750000,0.000000,top
"R1","10k","R_0805_2012Metric",52.000000,-44.000000,0.000000,top
"R2","120","R_0805_2012Metric",21.500000,-25.000000,0.000000,top
"R3","330","R_0805_2012Metric",21.500000,-18.000000,0.000000,top
"R4","330","R_0805_2012Metric",27.000000,-24.500000,0.000000,top
"R5","1M","R_0805_2012Metric",16.000000,-49.500000,0.000000,top
"R6","1M","R_0805_2012Metric",38.000000,-49.500000,0.000000,top
"R7","1M","R_0805_2012Metric",56.000000,-49.500000,0.000000,top
"R_cc1","5.1k","R_0805_2012Metric",77.000000,-25.500000,0.000000,top
"R_cc2","5.1k","R_0805_2012Metric",77.000000,-29.000000,0.000000,top
"TVS1","SMAJ15A-13-F","D_SMA",23.500000,-8.000000,0.000000,top
"TVS2","SMAJ12CA-13-F","D_SMA",23.500000,-13.500000,0.000000,top
"U-ESD","USBLC6-2SC6Y","SOT-23-6",70.000000,-27.000000,0.000000,top
"U2","THVD1400DR","SOIC-8_3.9x4.9mm_P1.27mm",12.500000,-19.500000,0.000000,top
"U3-LDO","AP2112K-3.3","SOT-23-5",70.000000,-33.000000,0.000000,top
"U4-MUX","TPS2116DRLR","SOT-583-8",70.000000,-38.500000,0.000000,top
